contact_model,profile,policy_name,seed_count,episodes_per_seed,success_rate,jam_rate,documented_force_jam_rate,blocked_contact_termination_rate,mean_final_distance,mean_peak_contact_force,p95_peak_contact_force,mean_contact_steps,mean_contact_work
within_a_base_contact_law,nominal,fixed_impedance,3,1,1.0,0.0,0.0,0.0,0.0009690347321834005,1.9679313389014121,1.9679313389014121,11.0,0.008006676601477086
within_a_soft_wall_contact_cross_check,nominal,fixed_impedance,3,1,1.0,0.0,0.0,0.0,0.0009690347321834005,2.1587948162452486,2.1587948162452486,11.0,0.008807344261624793
within_a_base_contact_law,nominal,variable_impedance,3,1,1.0,0.0,0.0,0.0,0.0009603550036752709,0.5992486759366799,0.5992486759366799,27.666666666666668,0.0020324459065739625
within_a_soft_wall_contact_cross_check,nominal,variable_impedance,3,1,1.0,0.0,0.0,0.0,0.0009603550036752709,0.6470506278837823,0.6470506278837823,27.333333333333332,0.0022356904972313588
within_a_base_contact_law,tight_clearance,fixed_impedance,3,1,1.0,0.0,0.0,0.0,0.0009690347321834005,1.9679313389014121,1.9679313389014121,11.0,0.008006676601477086
within_a_soft_wall_contact_cross_check,tight_clearance,fixed_impedance,3,1,1.0,0.0,0.0,0.0,0.0009690347321834005,2.1587948162452486,2.1587948162452486,11.0,0.008807344261624793
within_a_base_contact_law,tight_clearance,variable_impedance,3,1,1.0,0.0,0.0,0.0,0.0009603550036752709,0.5992486759366799,0.5992486759366799,27.666666666666668,0.0020324459065739625
within_a_soft_wall_contact_cross_check,tight_clearance,variable_impedance,3,1,1.0,0.0,0.0,0.0,0.0009603550036752709,0.6470506278837823,0.6470506278837823,27.333333333333332,0.0022356904972313588
within_a_base_contact_law,high_friction,fixed_impedance,3,1,1.0,0.0,0.0,0.0,0.0009690347321834005,3.7901227987738495,3.7901227987738495,11.0,0.01567586851884786
within_a_soft_wall_contact_cross_check,high_friction,fixed_impedance,3,1,1.0,0.0,0.0,0.0,0.0009690347321834005,4.164353681492483,4.164353681492483,11.0,0.017243455370732644
within_a_base_contact_law,high_friction,variable_impedance,3,1,1.0,0.0,0.0,0.0,0.0009449074814718108,1.0321016148673807,1.0321016148673807,28.666666666666668,0.0038745874211428793
within_a_soft_wall_contact_cross_check,high_friction,variable_impedance,3,1,1.0,0.0,0.0,0.0,0.0009703858743111827,1.1082349681879913,1.1082349681879913,29.666666666666668,0.004152017969593672
within_a_base_contact_law,offset_bias,fixed_impedance,3,1,1.0,0.0,0.0,0.0,0.0009690347321834005,1.9679313389014121,1.9679313389014121,11.0,0.008006676601477086
within_a_soft_wall_contact_cross_check,offset_bias,fixed_impedance,3,1,1.0,0.0,0.0,0.0,0.0009690347321834005,2.1587948162452486,2.1587948162452486,11.0,0.008807344261624793
within_a_base_contact_law,offset_bias,variable_impedance,3,1,1.0,0.0,0.0,0.0,0.0009603550036752709,0.5992486759366799,0.5992486759366799,27.666666666666668,0.0020324459065739625
within_a_soft_wall_contact_cross_check,offset_bias,variable_impedance,3,1,1.0,0.0,0.0,0.0,0.0009603550036752709,0.6470506278837823,0.6470506278837823,27.333333333333332,0.0022356904972313588
within_a_base_contact_law,noisy_force,fixed_impedance,3,1,1.0,0.0,0.0,0.0,0.0009690347321834005,2.2769172161004247,2.2769172161004247,11.0,0.008959609629311934
within_a_soft_wall_contact_cross_check,noisy_force,fixed_impedance,3,1,1.0,0.0,0.0,0.0,0.0009690347321834005,2.489345531842756,2.489345531842756,11.0,0.009855570592243129
within_a_base_contact_law,noisy_force,variable_impedance,3,1,1.0,0.0,0.0,0.0,0.0009529167562723154,0.8537779309022068,0.8537779309022068,44.333333333333336,0.0015189647022796455
within_a_soft_wall_contact_cross_check,noisy_force,variable_impedance,3,1,1.0,0.0,0.0,0.0,0.0009529167562723154,0.906558382239974,0.906558382239974,44.333333333333336,0.0016708611725076105
